Ratio1,Ratio2,Ratio3,Ratio4,Ratio5,Ratio6,Ratio7,Ratio8,Ratio9,Ratio10,Ratio11,Ratio12,Ratio13,Ratio14,Ratio15,Ratio16,Ratio17,Ratio18,Ratio19,Ratio20,Ratio21,Ratio22,Ratio23,Ratio24,Ratio25,Ratio26,IssuerRating
-0.002978171,0.165415,1.914493318,0.148404993,0.18274562,34.20880955,2.677558692,1.346264828,-27.4684,0.401270208,0.438995026,1.819612591,33.4324,-0.007245661,0.148717,4.602678099,0.1539808,0.208747528,33.96317216,2.024307594,1.008770568,-43.87735,0.03498244,0.406744871,1.934927568,3.9187,BBB+
0.06751676,0.158119,1.291449851,0.146055028,0.472504077,55.87042042,4.529042942,1.164621933,14.9233,0.079059535,1.976716797,5.794986219,84.8916,0.066186494,0.15082425,1.203974931,0.125979681,0.435569227,59.06448437,11.4308009,1.192927955,12.3367,0.079145776,2.032212132,4.942433988,77.5056,A
0.013637995,0.221018,2.450372284,0.00070555,0.254336643,30.22216504,543.9989707,1.744505495,1.7456,0.023293608,0.441679627,2.494851515,2.5972,0.013952089,0.2259305,2.437692273,0.000764554,0.257260793,29.98210442,511.9155328,1.728997386,1.58455,0.040397709,0.439206051,2.511727506,4.3937,BBB-
0.024321052,0.157554,1.881724919,0.006257709,0.300299948,45.33313362,67.99970042,2.173473902,6.957,0.056231342,0.811051081,2.308122198,10.5092,0.018084397,0.13315775,2.521069295,0.028899713,0.298348437,36.96625358,32.69731852,1.986183676,11.092375,0.071833124,0.749372879,2.305961029,12.3699,BB+
0.027083517,0.097052,0.367605248,0.115046605,0.165229253,63.35134876,8.138888556,1.870087841,-29.7643,0.044937617,1.594121271,2.123528312,15.7204,0.026750625,0.0913805,0.489621064,0.04179754,0.164597441,62.04236432,41.57881622,2.03196808,-21.4625,0.039090856,1.638229071,2.088664865,14.411,BBB
0.053151684,0.260655,0.54373867,0.015364546,0.220633855,251.4994931,75.92437528,1.961487162,3.9256,0.152739992,0.987431642,2.379318216,32.1384,0.054235,0.26832625,0.491089678,0.217719237,0.211604346,248.3051976,22.33464691,1.798581846,6.2425,0.155692414,0.967999094,2.044227865,29.7379,AA-
0.044352016,0.124101,0.877643401,0.049247221,0.292673887,70.944405,14.5942776,2.141806143,-12.7733,0.077065112,1.695012972,2.910234899,34.9524,0.054894604,0.14615375,0.572777178,0.018798408,0.264965874,75.92291918,95.93283748,2.373363838,10.39615,0.090852833,1.74923157,2.582427118,39.0564,BBB+
0.017446019,0.237777,5.841580926,0.007512483,0.768300027,9.900520773,18.97468704,2.108644839,5.1669,0.060085666,0.460594907,8.824672231,25.2488,0.016718385,0.228731,6.299591898,0.00827365,0.76050002,9.13449817,17.90592899,1.039273956,-3.466475,0.020622822,0.490461736,8.853653077,8.7952,B
-0.01055429,0.360949,2.341655429,0.000941759,0.270449845,37.27179638,402.8458575,1.430927294,-35.2275,-0.159374569,0.284262449,2.142421712,-9.5676,-0.068828172,0.33547675,2.750492873,0.002128328,0.254578241,37.52735983,269.6188784,1.441049882,-59.193525,-0.642629074,0.267106091,2.100764098,-34.8242,BBB+
0.035983217,0.167018,1.309233023,0.417045898,0.288127974,64.17057421,1.405450612,0.680723443,17.2736,0.092215924,1.011163976,3.360780611,35.266,0.041264125,0.18416825,1.127298048,0.427988712,0.273280685,76.98699228,1.589811774,0.667934206,11.077825,0.100628817,1.006347143,3.367361932,36.7709,A+
